Marca temporal,Tipo de registro,Procedimiento o proceso en el que se le atendió,Servicios referidos (Detalle),"Detalles de la queja, sugerencia o felicitación",Departamento que lo atendió,Instancia,detalles_limpios,tokenizacion,lematizacion,stemming
10/23/2023 9:06:40,Felicitación,Préstamo de Equipo Informático,Préstamo de equipo,Funcionan bien las computadoras solo falta que la red este un poco mejor.,,,funcionan computadoras falta red,"['funcionan', 'computadoras', 'falta', 'red']",funcionar computadora falta red,funcion comput falt red
11/30/2023 12:49:38,Felicitación,Préstamo de Equipo Informático,Buen computo,Felicidades ,,,felicidades,['felicidades'],felicidad,felic
12/19/2023 10:46:15,Queja,Auditoría Interna,Pretamos de computadoras,Las computadoras están muy lentas y ni siquiera están conectadas a un Internet estable.,,,computadoras lentas siquiera conectadas internet estable,"['computadoras', 'lentas', 'siquiera', 'conectadas', 'internet', 'estable']",computadora lenta siquiera conectadas internet estable,comput lent siqu conect internet establ
1/16/2024 12:17:52,Sugerencia,Reinscripción,.,.,,,,[],,
1/16/2024 12:49:40,Felicitación,Préstamo de Equipo Informático,Préstamo de equipo ,El laboratorio esta en excelentes condiciones ,,,laboratorio excelentes condiciones,"['laboratorio', 'excelentes', 'condiciones']",laboratorio excelente condición,laboratori excelent condicion
1/16/2024 12:59:14,Sugerencia,Préstamo de Equipo Informático,Computadora ,Que no sean tan apáticos ,,,apaticos,['apaticos'],apatico,apat
1/16/2024 13:28:34,Felicitación,Gestión del Diseño Curricular de Programas Académicos,Préstamo de equipo ,Buen servicio 🐕‍🦺,,,servicio 🐕‍🦺,"['servicio', '🐕\u200d🦺']",servicio 🐕 \u200d🦺,servici 🐕u200d🦺
1/16/2024 13:29:57,Felicitación,Servicio Social,Préstamo de equipo ,Ta bien ,,,ta,['ta'],ta,ta
1/16/2024 13:58:47,Felicitación,Préstamo de Equipo Informático,Préstamo de equipo computacional ,Buen servicio,,,servicio,['servicio'],servicio,servici
1/16/2024 13:59:09,Felicitación,Tutorías,Tareas,Todo exelente ,,,exelente,['exelente'],exelente,exelent
1/16/2024 14:02:05,Sugerencia,Préstamo de Equipo Informático,Laboratorio uso libre,Las computadoras van lentas,,,computadoras lentas,"['computadoras', 'lentas']",computadora lenta,comput lent
1/16/2024 14:25:32,Felicitación,Servicio Social,Ok,Felicidades ,,,felicidades,['felicidades'],felicidad,felic
1/16/2024 14:30:18,Sugerencia,Préstamo de Equipo Informático,Préstamo de equipo , Que casi ningún equipo se puede prender ,,,ningun equipo prender,"['ningun', 'equipo', 'prender']",ningun equipo prender,ningun equip prend
1/16/2024 14:32:02,Sugerencia,Préstamo de Equipo Informático,Préstamo del aula 1103,Tener más contactos de luz para poder conectar en caso de traer lap,,,mas contactos luz conectar caso traer lap,"['mas', 'contactos', 'luz', 'conectar', 'caso', 'traer', 'lap']",contacto luz conectar caso traer lap,mas contact luz conect cas tra lap
1/16/2024 14:32:02,Felicitación,Préstamo de Equipo Informático,Uso de pc,Se agradece el uso de azure,,,agradece azure,"['agradece', 'azure']",agradecer azure,agradec azur
1/16/2024 14:51:44,Sugerencia,Préstamo de Equipo Informático,Equipo de cómputo ,Agregar lector de disco ,,,agregar lector disco,"['agregar', 'lector', 'disco']",agregar lector disco,agreg lector disc
1/16/2024 18:14:35,Felicitación,Préstamo de Equipo Informático,Prestamo,No,,,,[],,
1/16/2024 18:15:26,Felicitación,Control de Información Documentada,Udi,Todo bien ,,,,[],,
1/16/2024 18:17:25,Felicitación,Préstamo de Equipo Informático,Udi ,Todo bien,,,,[],,
1/17/2024 14:36:24,Sugerencia,Préstamo de Equipo Informático,Prestamo de equipo ,Verificar que el disco duro siempre está al 100%,,,verificar disco duro 100,"['verificar', 'disco', 'duro', '100']",verificar disco duro 100,verific disc dur 100
1/17/2024 14:36:44,Felicitación,Préstamo de Equipo Informático,Presta de equipo informático,Servicio eficiente ,,,servicio eficiente,"['servicio', 'eficiente']",servicio eficiente,servici eficient
1/17/2024 14:36:51,Felicitación,Préstamo de Equipo Informático,presta de equipo informático ,Me agradaron las computadora ,,,agradaron computadora,"['agradaron', 'computadora']",agradar computadoro,agrad comput
